Total Departments: 3
Department 1 Computer Science, Total Courses In Department: 4
Course 101 Introduction to Programming,M/W,1200
Course 102 Data Structures,T/R,1350
Course 103 Computer Networks,W/F,1400
Course 104 Artificial Intelligence,M/W,1600
Department 2 Business Administration, Total Courses In Department: 4
Course 101 Introduction to Programming,M/W,1200
Course 102 Data Structures,T/R,1350
Course 103 Computer Networks,W/F,1400
Course 104 Artificial Intelligence,M/W,1600
Department 3 Engineering, Total Courses In Department: 4
Course 101 Introduction to Programming,M/W,1200
Course 102 Data Structures,T/R,1350
Course 103 Computer Networks,W/F,1400
Course 104 Artificial Intelligence,M/W,1600
